gene,n_colonies,power
Pten,186,1
Pten,191,1
Pten,196,1
Pten,201,1
Pten,206,1
Pten,211,1
Pten,216,1
Pten,221,1
Pten,226,1
Pten,231,1
Pten,236,1
Pten,241,1
Pten,246,1
Pten,251,1
Pten,256,1
Pten,261,1
Pten,266,1
Pten,271,1
Pten,276,1
Pten,281,1
Pten,286,1
Pten,291,1
Pten,296,1
Pten,301,1
Pten,306,1
Pten,311,1
Pten,316,1
Pten,321,1
Pten,326,1
Pten,331,1
Pten,336,1
Pten,341,1
Pten,346,1
Pten,351,1
Pten,356,1
Pten,361,1
Pten,366,1
Pten,371,1
Pten,376,1
Pten,381,1
Pten,386,1
Pten,391,1
Pten,396,1
Pten,401,1
Pten,406,1
Pten,411,1
Pten,416,1
Pten,421,1
Pten,426,1
Pten,431,1
Pten,436,1
Pten,441,1
Pten,446,1
Pten,451,1
Pten,456,1
Pten,461,1
Pten,466,1
Pten,471,1
Ptgs1,1,0
Ptgs1,6,0
Ptgs1,11,0
Ptgs1,16,0
Ptgs1,21,0
Ptgs1,26,0
Ptgs1,31,0
Ptgs1,36,0
Ptgs1,41,0
Ptgs1,46,0
Ptgs1,51,0
Ptgs1,56,0
Ptgs1,61,0
Ptgs1,66,0
Ptgs1,71,0
Ptgs1,76,0
Ptgs1,81,0
Ptgs1,86,0
Ptgs1,91,0
Ptgs1,96,0
Ptgs1,101,0
Ptgs1,106,0.01
Ptgs1,111,0.01
Ptgs1,116,0.05
Ptgs1,121,0.16
Ptgs1,126,0.37
Ptgs1,131,0.66
Ptgs1,136,0.96
Ptgs2,1,0
Ptgs2,6,0
Ptgs2,11,0
Ptgs2,16,0
Ptgs2,21,0
Ptgs2,26,0
Ptgs2,31,0
Ptgs2,36,0.03
Ptgs2,41,0.02
Ptgs2,46,0.09
Ptgs2,51,0.13
Ptgs2,56,0.22
Ptgs2,61,0.31
Ptgs2,66,0.48
Ptgs2,71,0.54
Ptgs2,76,0.62
Ptgs2,81,0.75
Ptgs2,86,0.81
Ptgs2,91,0.9
Ptgs2,96,0.94
Ptgs2,101,0.99
Ptgs2,106,0.99
Ptgs2,111,1
Ptgs2,116,1
Ptprd,1,0
Ptprd,6,0
Ptprd,11,0
Ptprd,16,0
Ptprd,21,0
Ptprd,26,0
Ptprd,31,0
Ptprd,36,0
Ptprd,41,0
Ptprd,46,0
Ptprd,51,0
Ptprd,56,0
Ptprd,61,0
Ptprd,66,0
Ptprd,71,0
Ptprd,76,0
Ptprd,81,0
Ptprd,86,0
Ptprd,91,0
Ptprd,96,0.02
Ptprd,101,0.36
Pum3,1,0
Pum3,6,0
Pum3,11,0
Pum3,16,0
Pum3,21,0
Pum3,26,0
Pum3,31,0
Pyroxd1,1,0
Pyroxd1,6,0
Pyroxd1,11,0
Pyroxd1,16,0
Pyroxd1,21,0
Pyroxd1,26,0
Pyroxd1,31,0
Pyroxd1,36,0
Pyroxd1,41,0
Pyroxd1,46,0
Pyroxd1,51,0
Pyroxd1,56,0
Pyroxd1,61,0
Pyroxd1,66,0
Pyroxd1,71,0
R3hdm1,1,0
R3hdm1,6,0
R3hdm1,11,0
R3hdm1,16,0
R3hdm1,21,0
R3hdm1,26,0
R3hdm1,31,0
R3hdm1,36,0
R3hdm1,41,0
R3hdm1,46,0
R3hdm1,51,0
R3hdm1,56,0
R3hdm1,61,0
R3hdm1,66,0
R3hdm1,71,0
R3hdm1,76,0
R3hdm1,81,0
R3hdm1,86,0
Rab27a,1,0
Rab27a,6,0
Rab27a,11,0
Rab27a,16,0
Rab27a,21,0
Rab27a,26,0
Rab27a,31,0
Rab27a,36,0
Rab27a,41,0
Rab27a,46,0.04
Rab27a,51,0.19
Rab27a,56,0.53
Rab27a,61,0.75
Rab27a,66,0.99
Rab27a,71,1
Rab27a,76,1
Rab35,1,0
Rab35,6,0
Rab35,11,0
Rab35,16,0
Rab35,21,0
Rab35,26,0
Rab35,31,0
Rab35,36,0
Rab35,41,0
Rab35,46,0
Rab35,51,0
Rab35,56,0
Rab35,61,0
Rab3gap1,1,0
Rab3gap1,6,0
Rab3gap1,11,0
Rab3gap1,16,0
Rab3gap1,21,0
Rab3gap1,26,0
Rab3gap1,31,0
Rab3gap1,36,0
Rab3gap1,41,0
Rab3gap1,46,0
Rab3gap1,51,0.01
Rab3gap1,56,0
Rab3gap1,61,0.02
Rab3gap1,66,0.05
Rab3gap1,71,0.18
Rab3gap1,76,0.21
Rab3gap1,81,0.37
Rab3gap1,86,0.58
Rab3gap1,91,0.7
Rab3gap1,96,0.66
Rab3gap1,101,0.84
Rab3gap1,106,0.88
Rab3gap1,111,0.99
Rab3gap1,116,1
Rab3gap1,121,1
Rab3gap1,126,1
Rab3gap1,131,1
Rab3gap1,136,1
Rab6a,1,0
Rab6a,6,0
Rab6a,11,0
Rab6a,16,0
Rab6a,21,0
Rab6a,26,0
Rab6a,31,0
Rab6a,36,0
Rab6a,41,0
Rab6a,46,0
Rab6a,51,0
Rab6a,56,0
Rab6a,61,0
Rab6a,66,0.04
Rab6a,71,0.22
Rab6a,76,0.4
Rab6a,81,0.67
Rab6a,86,0.77
Rab6a,91,0.82
Rab6a,96,1
Rac1,1,0
Rac1,6,0
Rac1,11,0
Rac1,16,0
Rac1,21,0
Rac1,26,0
Rac1,31,0
Rac1,36,0
Rac1,41,0
Rac1,46,0
Rad51,1,0
Rad51,6,0
Raly,1,0
Raly,6,0
Raly,11,0
Raly,16,0
Raly,21,0
Raly,26,0
Raly,31,0
Raly,36,0
Raly,41,0
Raly,46,0
Raly,51,0
Raly,56,0
Raly,61,0
Raly,66,0
Raly,71,0
Raly,76,0
Raly,81,0.01
Raly,86,0.12
Raly,91,0.25
Raly,96,0.43
Raly,101,0.57
Raly,106,0.77
Raly,111,0.93
Raly,116,0.99
Raly,121,0.99
Raly,126,1
Rap1b,1,0
Rap1b,6,0
Rap1b,11,0
Rap1b,16,0
Rap1b,21,0
Rap1b,26,0
Rap1b,31,0
Rap1b,36,0
Rap1b,41,0
Rap1b,46,0
Rap1b,51,0
Rap1b,56,0
Rap1b,61,0
Rap1b,66,0
Rap1b,71,0
Rap1b,76,0
Rap1b,81,0
Rap1b,86,0
Rap1b,91,0
Rap1b,96,0
Rap1b,101,0
Rap1b,106,0
Rap1b,111,0
Rap1b,116,0
Rap1b,121,0
Rap1b,126,0
Rap1b,131,0
Rap1b,136,0
Rap1b,141,0
Rap1b,146,0
Rap1b,151,0
Rap1b,156,0
Rap1b,161,0
Rap1b,166,0
Rap1b,171,0
Rap1b,176,0
Rap1b,181,0
Rap1b,186,0
Rap1b,191,0
Rap1b,196,0
Rap1b,201,0
Rap1b,206,0
Rap1b,211,0
Rap1b,216,0
Rap1b,221,0
Rap1b,226,0
Rap1b,231,0
Relch,1,0
Relch,6,0
Relch,11,0
Relch,16,0
Relch,21,0
Relch,26,0
Relch,31,0
Relch,36,0
Relch,41,0.01
Relch,46,0.07
Relch,51,0.09
Relch,56,0.19
Relch,61,0.37
Relch,66,0.47
Relch,71,0.72
Relch,76,0.78
Relch,81,0.86
Relch,86,0.95
Relch,91,0.99
Relch,96,1
Relch,101,1
Relch,106,1
Relch,111,1
Rnf111,1,0
Rnf111,6,0
Rnf111,11,0
Rnf111,16,0
Rnf111,21,0
Rnf111,26,0
Rnf111,31,0
Rnf111,36,0
Rnf111,41,0
Rnf111,46,0
Rnf111,51,0
Rnf111,56,0
Rnf111,61,0
Rnf111,66,0
Rnf111,71,0
Rnf111,76,0
Rnf111,81,0
Rnf111,86,0
Rnf111,91,0
Rnf111,96,0
Rnf111,101,0
Rnf111,106,0
Rnf111,111,0.01
Rnf111,116,0.06
Rnf111,121,0.33
Rnf111,126,0.95
Rnf146,1,0
Rnf146,6,0
Rnf146,11,0
Rnf146,16,0
Rnf146,21,0
Rnf146,26,0
Rnf146,31,0
Rnf146,36,0
Rnf146,41,0.01
Rnf146,46,0.02
Rnf146,51,0.04
Rnf146,56,0.09
Rnf146,61,0.13
Rnf146,66,0.2
Rnf146,71,0.3
Rnf146,76,0.34
Rnf146,81,0.47
Rnf146,86,0.51
Rnf146,91,0.56
Rnf146,96,0.67
Rnf146,101,0.78
Rnf146,106,0.85
Rnf146,111,0.84
Rnf146,116,0.9
Rnf146,121,0.97
Rnf146,126,0.99
Rnf146,131,1
Rnf146,136,1
Rnf146,141,1
Rnf146,146,1
Rnf146,151,1
Rnf213,1,0
Rnf213,6,0
Rnf213,11,0
Rnf213,16,0
Rnf213,21,0
Rnf213,26,0
Rnf213,31,0
Rnf213,36,0
Rnf213,41,0.02
Rnf213,46,0.02
Rnf213,51,0.05
Rnf213,56,0.2
Rnf213,61,0.38
Rnf213,66,0.47
Rnf213,71,0.78
Rnf213,76,0.84
Rnf213,81,0.94
Rnf213,86,0.98
Rnf213,91,1
Rnf213,96,1
Rnf213,101,1
Rnf213,106,1
Rnf213,111,1
Rnf213,116,1
Rnf214,1,0
Rnf214,6,0
Rnf214,11,0
Rnf214,16,0
Rnf214,21,0
Rnf214,26,0
Rnf214,31,0
Rnf214,36,0
Rnf214,41,0
Rnf214,46,0
Rnf214,51,0
Rnf214,56,0
Rnf214,61,0.01
Rnf214,66,0.01
Rnf214,71,0.03
Rnf214,76,0.06
Rnf214,81,0.11
Rnf214,86,0.18
Rnf214,91,0.36
Rnf214,96,0.47
Rnf214,101,0.55
Rnf214,106,0.6
Rnf214,111,0.82
Rnf214,116,0.85
Rnf214,121,0.92
Rnf214,126,0.99
Rnf214,131,1
Rnf214,136,1
Rnf214,141,1
Rnf214,146,1
Rnf214,151,1
Rnf214,156,1
Rnf214,161,1
Rnf214,166,1
Rnf217,1,0
Rnf217,6,0
Rnf217,11,0
Rnf217,16,0
Rnf217,21,0
Rnf217,26,0
Rnf217,31,0
Rnf217,36,0
Rnf217,41,0
Rnf217,46,0
Rnf217,51,0
Rnf217,56,0
Rnf217,61,0
Rnf217,66,0
Rnf217,71,0
Rnf217,76,0
Rnf217,81,0.27
Rnf217,86,0.74
Rpn2,1,0
Rpn2,6,0
Rpn2,11,0
Rpn2,16,0
Rpn2,21,0
Rpn2,26,0
Rpn2,31,0
Rpn2,36,0
Rpn2,41,0
Rpn2,46,0
Rsf1,1,0
Rsf1,6,0
Rsf1,11,0
Rsf1,16,0
Rsf1,21,0
Rsf1,26,0
Rsf1,31,0
Rsf1,36,0
Rsf1,41,0
Rsf1,46,0
Rsf1,51,0.01
Rsf1,56,0
Rsf1,61,0.07
Rsf1,66,0.17
Rsf1,71,0.16
Rsf1,76,0.34
Rsf1,81,0.55
Rsf1,86,0.77
Rsf1,91,0.88
Rsf1,96,0.89
Rsf1,101,0.98
Rsf1,106,1
Rsf1,111,1
Rsf1,116,1
Rufy1,1,0
Rufy1,6,0
Rufy1,11,0
Rufy1,16,0
Rufy1,21,0.01
Rufy1,26,0.03
Rufy1,31,0.01
Rufy1,36,0.11
Rufy1,41,0.11
Rufy1,46,0.22
Rufy1,51,0.27
Rufy1,56,0.36
Rufy1,61,0.49
Rufy1,66,0.51
Rufy1,71,0.64
Rufy1,76,0.69
Rufy1,81,0.83
Rufy1,86,0.82
Rufy1,91,0.82
Rufy1,96,0.98
Rufy1,101,0.98
Rufy1,106,1
Rufy1,111,1
Rufy1,116,1
Rufy1,121,1
Runx1t1,1,0
Runx1t1,6,0
Runx1t1,11,0
Runx1t1,16,0
Runx1t1,21,0
Runx1t1,26,0
Runx1t1,31,0
Runx1t1,36,0
Runx1t1,41,0
Runx1t1,46,0
Runx1t1,51,0
Runx1t1,56,0
Runx1t1,61,0
Runx1t1,66,0.04
Runx1t1,71,0.05
Runx1t1,76,0.19
Runx1t1,81,0.32
Runx1t1,86,0.54
Runx1t1,91,0.78
Runx1t1,96,0.89
Runx1t1,101,0.93
Runx1t1,106,0.97
Runx1t1,111,1
Runx1t1,116,1
Runx1t1,121,1
Runx1t1,126,1
Runx1t1,131,1
S100a2,1,0
S100a2,6,0
S100a2,11,0
S100a2,16,0
S100a2,21,0
S100a2,26,0
S100a2,31,0
S100a2,36,0
S100a2,41,0
S100a2,46,0
S100a2,51,0
S100a2,56,0
S100a2,61,0
S100a2,66,0
S100a2,71,0
S100a2,76,0
S100a2,81,0
S100a2,86,0
S100a2,91,0
S100a2,96,0
S100a2,101,0
S100a2,106,0
S100a2,111,0
S100a2,116,0
S100a2,121,0
S100a2,126,0
S100a2,131,0
S100a2,136,0
S100a2,141,0
S100a2,146,0
S100a2,151,0
S100a2,156,0
Sbf2,1,0
Sbf2,6,0
Sbf2,11,0
Sbf2,16,0
Sbf2,21,0
Sbf2,26,0
Sbf2,31,0
Sbf2,36,0
Sbf2,41,0
Sbf2,46,0
Sbf2,51,0
Sbf2,56,0
Sbf2,61,0
Sbf2,66,0.02
Sbf2,71,0.05
Sbf2,76,0.17
Sbf2,81,0.29
Sbf2,86,0.35
Sbf2,91,0.62
Sbf2,96,0.76
Sbf2,101,0.93
Sbf2,106,0.96
Sbf2,111,0.99
Sbf2,116,1
Sbf2,121,1
Sbf2,126,1
Sdhd,1,0.03
Sdhd,6,0.14
Sdhd,11,0.27
Sdhd,16,0.41
Sdhd,21,0.54
Sdhd,26,0.76
Sdhd,31,0.89
Sdhd,36,1
Sdhd,41,0.99
Sdhd,46,1
Sec23a,1,0
Sec23a,6,0
Sec23a,11,0
Sec23a,16,0
Sec23a,21,0
Sec23a,26,0
Sec23a,31,0
Sec23a,36,0
Sec23a,41,0
Sec23a,46,0
Sec23a,51,0
Sec23a,56,0
Sec23a,61,0
Sec23a,66,0
Sec23a,71,0
Sec23b,1,0
Sec23b,6,0.35
Sec23b,11,0.53
Sec23b,16,0.85
Sec23b,21,1
Sec61a1,1,0
Sec61a1,6,0
Sec61a1,11,0
Sec61a1,16,0
Sec61a1,21,0
Sec61a1,26,0
Sec61a1,31,0
Sec61a1,36,0
Sel1l,1,0
Sel1l,6,0
Sel1l,11,0
Sel1l,16,0
Sel1l,21,0
Sel1l,26,0
Sel1l,31,0
Sel1l,36,0
Sel1l,41,0
Sel1l,46,0
Sel1l,51,0
Sel1l,56,0.02
Sel1l,61,0.08
Sel1l,66,0.29
Sel1l,71,0.57
Sel1l,76,0.86
Sel1l,81,0.99
Setd2,1,0
Setd2,6,0
Setd2,11,0
Setd2,16,0
Setd2,21,0
Setd2,26,0
Setd2,31,0
Setd2,36,0
Setd2,41,0
Setd2,46,0
Setd2,51,0
Setd2,56,0
Setd2,61,0
Setd2,66,0
Setd2,71,0
Sf3b4,1,0
Sf3b4,6,0.05
Sf3b4,11,0.53
Sf3b4,16,0.92
Sf3b4,21,1
sgSafe21,1,0
sgSafe21,6,0
sgSafe21,11,0
sgSafe21,16,0
sgSafe21,21,0
sgSafe21,26,0
sgSafe21,31,0
sgSafe21,36,0
sgSafe21,41,0
sgSafe21,46,0
sgSafe21,51,0
sgSafe21,56,0
sgSafe21,61,0
sgSafe21,66,0
sgSafe21,71,0
sgSafe21,76,0
sgSafe21,81,0
sgSafe21,86,0
sgSafe21,91,0
sgSafe21,96,0
sgSafe21,101,0
sgSafe21,106,0
sgSafe21,111,0
sgSafe21,116,0
sgSafe21,121,0
sgSafe21,126,0
sgSafe30,1,0
sgSafe30,6,0
sgSafe30,11,0
sgSafe30,16,0
sgSafe30,21,0
sgSafe30,26,0
sgSafe30,31,0
sgSafe30,36,0
sgSafe30,41,0
sgSafe30,46,0
sgSafe30,51,0
sgSafe30,56,0
sgSafe30,61,0.01
sgSafe30,66,0.03
sgSafe30,71,0.11
sgSafe30,76,0.27
sgSafe30,81,0.4
sgSafe30,86,0.55
sgSafe30,91,0.71
sgSafe30,96,0.79
sgSafe30,101,0.88
sgSafe30,106,0.94
sgSafe30,111,0.97
sgSafe35,1,0
sgSafe35,6,0
sgSafe35,11,0
sgSafe35,16,0
sgSafe35,21,0
sgSafe35,26,0
sgSafe35,31,0
sgSafe35,36,0
sgSafe35,41,0
sgSafe35,46,0
sgSafe35,51,0
sgSafe35,56,0
sgSafe35,61,0
sgSafe35,66,0
sgSafe35,71,0
sgSafe35,76,0
sgSafe35,81,0.01
sgSafe35,86,0.05
sgSafe35,91,0.13
sgSafe35,96,0.38
sgSafe35,101,0.54
sgSafe35,106,0.91
sgSafe35,111,1
sgSafe35,116,1
Skp2,1,0
Skp2,6,0
Skp2,11,0
Skp2,16,0
Skp2,21,0
Skp2,26,0
Skp2,31,0
Slc16a1,1,0
Slc16a1,6,0
Slc16a1,11,0
Slc16a1,16,0.03
Slc16a1,21,0.04
Slc16a1,26,0.08
Slc16a1,31,0.27
Slc16a1,36,0.45
Slc16a1,41,0.68
Slc16a1,46,0.82
Slc16a1,51,0.92
Slc16a1,56,0.97
Slc16a1,61,1
Slc16a1,66,1
Slc16a1,71,1
Slc16a1,76,1
Slc16a1,81,1
Slc2a1,1,0
Slc2a2,1,0
Slc2a2,6,0
Slc2a2,11,0
Slc2a2,16,0
Slc2a2,21,0
Slc2a2,26,0
Slc2a2,31,0
Slc2a2,36,0
Slc2a2,41,0
Slc2a2,46,0
Slc2a2,51,0
Slc2a2,56,0
Slc2a2,61,0
Slc2a2,66,0.02
Slc2a2,71,0.09
Slc2a2,76,0.1
Slc2a2,81,0.37
Slc2a2,86,0.41
Slc2a2,91,0.59
Slc2a2,96,0.68
Slc2a2,101,0.79
Slc2a2,106,0.95
Slc2a2,111,0.96
Slc2a2,116,0.99
Slc2a2,121,1
Slc2a2,126,1
Slc39a7,1,0
Slc39a7,6,0
Slc39a7,11,0.01
Slc39a7,16,0.03
Slc39a7,21,0.07
Slc39a7,26,0.27
Slc39a7,31,0.4
Slc39a7,36,0.51
Slc39a7,41,0.8
Slc39a7,46,0.92
Slc39a7,51,0.99
Slc39a7,56,1
Slc44a1,1,0
Slc44a1,6,0
Slc44a1,11,0
Slc44a1,16,0
Slc44a1,21,0
Slc44a1,26,0
Slc44a1,31,0
Slc44a1,36,0
Slc44a1,41,0
Slc44a1,46,0
Slc44a1,51,0
Slc44a1,56,0
Slc44a1,61,0
Slc44a1,66,0
Slc44a1,71,0
Slc44a1,76,0
Slc44a1,81,0
Slc44a1,86,0
Slc44a1,91,0
Slc44a1,96,0
Slc44a1,101,0
Smarca2,1,0
Smarca2,6,0
Smarca2,11,0
Smarca2,16,0
Smarca2,21,0
Smarca2,26,0
Smarca2,31,0
Smarca2,36,0.1
Smarca2,41,0.28
Smarca2,46,0.64
Smarca2,51,0.85
Smarca2,56,0.99
Smarca4,1,0
Smarca4,6,0
Smarca4,11,0
Smarca4,16,0
Smc4,1,0
Smc4,6,0
Smchd1,1,0
Smchd1,6,0
Smchd1,11,0
Smchd1,16,0
Smchd1,21,0
Smchd1,26,0
Smchd1,31,0
Smchd1,36,0
Smchd1,41,0
Smchd1,46,0
Snap23,1,0
Snap23,6,0
Snap23,11,0
Snap23,16,0
Snap23,21,0
Snap23,26,0
Snap23,31,0
Snap23,36,0.15
Snap23,41,0.44
Snap23,46,0.66
Snap23,51,0.88
Snap23,56,0.99
Snap23,61,1
Snap23,66,1
Snupn,1,0
Snupn,6,0
Snupn,11,0
Sox4,1,0
Sox4,6,0
Sox4,11,0
Sox4,16,0.03
Sox4,21,0.17
Sox4,26,0.31
Sox4,31,0.51
Sox4,36,0.81
Sox4,41,0.91
Sox4,46,0.95
Sox4,51,0.99
Sox4,56,1
Sox4,61,1
Sox4,66,1
Sox4,71,1
Sox4,76,1
Sox4,81,1
Spen,1,0
Spen,6,0
Spen,11,0
Spen,16,0
Spen,21,0
Spen,26,0
Spen,31,0
Spen,36,0
Spen,41,0
Spen,46,0
Spen,51,0
Spen,56,0
Spen,61,0
Spen,66,0
Spen,71,0
Spen,76,0.01
Spen,81,0.07
Spen,86,0.12
Spen,91,0.26
Spen,96,0.61
Spen,101,0.8
Spen,106,0.88
Spen,111,1
Spen,116,1
Spen,121,1
Spire1,1,0
Spire1,6,0
Spire1,11,0
Spire1,16,0
Spire1,21,0
Spire1,26,0
Spire1,31,0
Spire1,36,0
Spire1,41,0
Spire1,46,0
Spire1,51,0
Spire1,56,0
Spire1,61,0
Spire1,66,0
Spire1,71,0
Spire1,76,0
Spire1,81,0
Spire1,86,0
Spire1,91,0
Spire1,96,0
Spire1,101,0
Spire1,106,0
Spire1,111,0
Spire1,116,0
Spire1,121,0
Spire1,126,0
Spire1,131,0
Spire1,136,0
Spire1,141,0
Spire1,146,0
Spire1,151,0
Spire1,156,0
Spire1,161,0
Spire1,166,0
Spire1,171,0
Sptbn1,1,0
Sptbn1,6,0
Sptbn1,11,0
Sptbn1,16,0
Sptbn1,21,0
Sptbn1,26,0
Sptbn1,31,0
Sptbn1,36,0
Sptbn1,41,0
Sptbn1,46,0
Sptbn1,51,0
Sptbn1,56,0
Sptbn1,61,0
Sptbn1,66,0.01
Sptbn1,71,0.03
Sptbn1,76,0.13
Sptbn1,81,0.19
Sptbn1,86,0.54
Sptbn1,91,0.72
Sptbn1,96,0.76
Sptbn1,101,0.92
Sptbn1,106,0.99
Srp54a,1,0
Srp54a,6,0
Srp54a,11,0
Srp54a,16,0
Srp54a,21,0
Srp54a,26,0
Srp54a,31,0
Srp54a,36,0
Srp54a,41,0
Srp54a,46,0
Srp54a,51,0
Srp54a,56,0
Srp54a,61,0
Srp54a,66,0
Srp54a,71,0
Srp54a,76,0
Srp54a,81,0
Srp54a,86,0
Stab1,1,0
Stab1,6,0
Stab1,11,0
Stab1,16,0
Stab1,21,0
Stab1,26,0
Stab1,31,0
Stab1,36,0
Stab1,41,0
Stab1,46,0
Stab1,51,0
Stab1,56,0
Stab1,61,0
Stab1,66,0
Stab1,71,0
Stab1,76,0
Stab1,81,0
Stab1,86,0
Stab1,91,0
Stab1,96,0.01
Stab1,101,0.05
Stab1,106,0.06
Stab1,111,0.22
Stab1,116,0.31
Stab1,121,0.44
Stab1,126,0.67
Stab1,131,0.65
Stab1,136,0.86
Stab1,141,0.89
Stab1,146,0.98
Stab1,151,1
Stab1,156,1
Stab1,161,1
Stab1,166,1
Sting1,1,0
Sting1,6,0
Sting1,11,0
Sting1,16,0
Sting1,21,0
Sting1,26,0
Sting1,31,0
Sting1,36,0
Sting1,41,0
Sting1,46,0
Sting1,51,0
Sting1,56,0
